修正前の元の文章,修正後の文章（または修正指示）,指導コメント,推測される修正理由,カテゴリ,重要度,,,,,,,,,,,,,,,,,,,,
【第1章 全体に対して】,（スクリーンショット等の追加指示）,実際に使用者の視界に何かどう映るのか分からない。スクリーンショット、それに準ずるものが必要。,具体性の欠如読者がシステムの動作イメージ（特にMR映像）を想像できないため、視覚的な証拠が必要。,図表/構成,,,,,,,,,,,,,,,,,,,,,
【目次 4.2付近】,（インデントの修正）,4.2 下げがおかしい,体裁の不備目次の階層構造（インデント）が崩れているため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
発表ノートを表示させるための通信にWebSocketを用いた。,WebSocketは「通信手段」であり、「表示する手段」とするのはおかしい。（文脈修正の指示）,WebSocketは「通信手段」で「表示する手段」とするのは（変・おかしい）。,論理・定義の誤りWebSocketは通信プロトコルであり、表示技術ではないため、技術的な定義を正確にする必要がある。,論理/用語,,,,,,,,,,,,,,,,,,,,,
顔に重ねる,顔に被せるように,（特になし）,表現の適正化「重ねる」よりも「被せる（隠す）」というニュアンスの方が、顔を隠蔽する本研究の目的に合致するため。,表現,,,,,,,,,,,,,,,,,,,,,
XR(Cross Reality),XR (Cross Reality),スペース,記法ルール英単語と括弧の間にスペースが必要（文書整形の基本）。,フォーマット,,,,,,,,,,,,,,,,,,,,,
MRデバイスの内部カメラから人の顔の座標を取得する,内部カメラで撮影された映像とか人の顔を...,（矢印で文言の追加・具体化を指示）,具体性の向上単に「内部カメラから」とするより、何（映像データ）を処理対象としているかを明確にするため。,具体性,,,,,,,,,,,,,,,,,,,,,
本システムでは、Hololens2とコンピュータを接続することにより...（中略）...表示するのに用いた。,（文を分割・整理する指示）,1つの文に、言いたい事柄は1つにすべき。,可読性の向上一文が長すぎて主語と述語の関係が分かりにくいため、文を分割して整理するよう指導されている。,文体/可読性,,,,,,,,,,,,,,,,,,,,,
【第4章 冒頭】,（章の目的・概要の明確化）,遅くても、この章で、「使用者が、どう見える」、それに準ずるが必要。とくに、ノートの（表示）... というてるとか、全くない... 第4章ので、読んでも、より分からない。,構成・論理の欠如システムの実装詳細に入る前に、最終的にユーザーにどう見えるか（Input/Output）の全体像を示す必要がある。,構成/論理,,,,,,,,,,,,,,,,,,,,,
MRデバイスであるHololens2は...（中略）...完結することが挙げられる。,（読点で区切るよう指示）,であるため～できるため～により...られる。長すぎる。かんできたら（読点）を打つこと!!,文章の悪癖「～ため」を連続して繋げると論理構成が冗長になり読みづらいため。,文体,,,,,,,,,,,,,,,,,,,,,
Universal Windows Platform 上の画像座標上の,画像座標上の,（Universal Windows Platformを取り消し線で削除）,冗長な表現座標系を説明する上でプラットフォーム名は不要であり、単に「画像座標」とした方が簡潔で正確。,表現,,,,,,,,,,,,,,,,,,,,,
